,Kod TERC,Kod TERC (GUS),Kod TERC-woj (GUS),Województwo,Kod TERC-pow (GUS),Powiat,Kod TERC-gmi,Kod TERC-gmi-rodz,Gmina,Kod TERC-gmi (GUS),Kod TERC-gmi-rodz (GUS),Gmina (GUS),Kod SIMC,Kod SIMC podstawowa,Rodzaj miejscowości,Miejscowość,Kod SIMC (GUS),Kod SIMC podstawowa (GUS),Rodzaj miejscowości (GUS),Miejscowość (GUS),Kod ULIC (GUS),Ulica (cecha),Ulica (nazwa),Numeracja nieparzysta (od),Numeracja nieparzysta (do),Numeracja parzysta (od),Numeracja parzysta (do),Kod pocztowy (PNA)
81187,1417011,1417011,14,MAZOWIECKIE,17,otwocki,1,1,Józefów,1,1,Józefów,920404,920404,96,Józefów,920404,920404,96,Józefów,25631.0,ul.,Zapolskiej,1,-1,2,-1,05-410
298995,3013022,3013022,30,WIELKOPOLSKIE,13,leszczyński,2,2,Lipno,2,2,Lipno,373014,373008,3,Pustopole,373014,373008,3,Pustopole,,,,1,-1,2,-1,64-111
215362,2402032,2402032,24,ŚLĄSKIE,2,bielski,3,2,Buczkowice,3,2,Buczkowice,48521,48521,1,Godziszka,48521,48521,1,Godziszka,9947.0,ul.,Krokusów,1,-1,2,-1,43-376
361074,1863011,1863011,18,PODKARPACKIE,63,Rzeszów,1,1,Rzeszów,1,1,Rzeszów,974133,974133,96,Rzeszów,974133,974133,96,Rzeszów,3687.0,ul.,Jarosława Dąbrowskiego,91,109,-1,-1,35-084
187898,201052,201052,2,DOLNOŚLĄSKIE,1,bolesławiecki,5,2,Osiecznica,5,2,Osiecznica,191780,191780,1,Osiecznica,191780,191780,1,Osiecznica,22508.0,ul.,Świerkowa,1,-1,2,-1,59-724
178757,2807011,2807011,28,WARMIŃSKO-MAZURSKIE,7,iławski,1,1,Iława,1,1,Iława,964650,964650,96,Iława,964650,964650,96,Iława,24412.0,ul.,Wiśniowa,1,-1,2,-1,14-200
219202,2461011,2461011,24,ŚLĄSKIE,61,Bielsko-Biała,1,1,Bielsko-Biała,1,1,Bielsko-Biała,923584,923584,96,Bielsko-Biała,923584,923584,96,Bielsko-Biała,20808.0,ul.,Stalowa,1,-1,2,-1,43-310
353180,1807084,1807084,18,PODKARPACKIE,7,krośnieński,8,4,Rymanów,8,4,Rymanów,953438,953421,99,Bartoszów,953438,953421,99,Bartoszów,,,,1,-1,2,-1,38-480
230254,2405011,2405011,24,ŚLĄSKIE,5,gliwicki,1,1,Knurów,1,1,Knurów,940849,940849,96,Knurów,940849,940849,96,Knurów,20254.0,ul.,Słoneczna,1,-1,2,-1,44-193
268428,612054,612054,6,LUBELSKIE,12,opolski,5,4,Opole Lubelskie,5,4,Opole Lubelskie,956550,956550,96,Opole Lubelskie,956550,956550,96,Opole Lubelskie,15300.0,ul.,Osiedlowa,1,-1,2,-1,24-300
196775,214011,214011,2,DOLNOŚLĄSKIE,14,oleśnicki,1,1,Oleśnica,1,1,Oleśnica,987213,987213,96,Oleśnica,987213,987213,96,Oleśnica,4863.0,ul.,Fabryczna,1,-1,2,-1,56-400
102338,1430054,1430054,14,MAZOWIECKIE,30,szydłowiecki,5,4,Szydłowiec,5,4,Szydłowiec,973895,973895,96,Szydłowiec,973895,973895,96,Szydłowiec,20696.0,ul.,Spółdzielcza,1,-1,2,-1,26-500
175119,2802022,2802022,28,WARMIŃSKO-MAZURSKIE,2,braniewski,2,2,Braniewo,2,2,Braniewo,148814,148814,1,Zakrzewiec,148814,148814,1,Zakrzewiec,,,,1,-1,2,-1,14-500
305230,3019032,3019032,30,WIELKOPOLSKIE,19,pilski,3,2,Kaczory,3,2,Kaczory,526506,526506,1,Morzewo,526506,526506,1,Morzewo,10009.0,ul.,Krótka,1,-1,2,-1,64-810
334951,407034,407034,4,KUJAWSKO-POMORSKIE,7,inowrocławski,3,4,Gniewkowo,3,4,Gniewkowo,928937,928937,96,Gniewkowo,928937,928937,96,Gniewkowo,24628.0,ul.,Wojska Polskiego,1,-1,2,-1,88-140
131645,2205025,2205025,22,POMORSKIE,5,kartuski,2,5,Kartuzy,2,5,Kartuzy,163601,163601,1,Smętowo Chmieleńskie,163601,163601,1,Smętowo Chmieleńskie,17011.0,ul.,Polna,1,-1,2,-1,83-300
27527,1201082,1201082,12,MAŁOPOLSKIE,1,bocheński,8,2,Trzciana,8,2,Trzciana,838602,838542,0,Kupki,838602,838542,0,Kupki,,,,1,-1,2,-1,32-732
130119,2262011,2262011,22,POMORSKIE,62,Gdynia,1,1,Gdynia,1,1,Gdynia,934100,934100,96,Gdynia,934100,934100,96,Gdynia,7862.0,ul.,Kameralna,1,-1,2,-1,81-549
382839,2002015,2002015,20,PODLASKIE,2,białostocki,1,5,Choroszcz,1,5,Choroszcz,25342,25342,1,Złotoria,25342,25342,1,Złotoria,25305.0,ul.,Zachodnia,1,-1,2,-1,16-070
349658,1804032,1804032,18,PODKARPACKIE,4,jarosławski,3,2,Chłopice,3,2,Chłopice,599876,599853,0,Siedliska,599876,599853,0,Siedliska,,,,1,-1,2,-1,37-554
322536,3026045,3026045,30,WIELKOPOLSKIE,26,śremski,4,5,Śrem,4,5,Śrem,596607,596607,1,Sosnowiec,596607,596607,1,Sosnowiec,19186.0,ul.,Rycerska,1,-1,2,-1,63-100
333331,404011,404011,4,KUJAWSKO-POMORSKIE,4,chełmiński,1,1,Chełmno,1,1,Chełmno,983066,983066,96,Chełmno,983066,983066,96,Chełmno,5816.0,ul.,Grzegorza Gorczyckiego,1,-1,2,-1,86-200
222652,2403072,2403072,24,ŚLĄSKIE,3,cieszyński,7,2,Goleszów,7,2,Goleszów,52468,52468,1,Leszna Górna,52468,52468,1,Leszna Górna,41532.0,ul.,Kropiowicka,1,-1,2,-1,43-445
